site_code,name,state,lon,lat,elev,startyear,endyear,alignyear,timezone
AK-BEO,"Utgiagvik",AK,-156.604771,71.280008,7,2000,2015,1851,-8
AK-BEOG,"BEOGrid",AK,-156.75,71.25,7,2000,2015,1851,-8
AK-K64,"KM64",AK,-164.83355,65.162310,7,2000,2015,1851,-8
AK-K64G,"KM64Grid",AK,-164.75,65.25,7,2000,2015,1851,-8
AK-TL,"Teller",AK,-165.9530,64.73548,7,2000,2015,1851,-8
AK-TLG,"TLRGrid",AK,-165.75,64.75,7,2000,2015,1851,-8
AK-CL,"Council",AK,-163.7074,64.8493,7,2000,2015,1851,-8
AK-CLG,"CCILGrid",AK,-163.75,64.75,7,2000,2015,1851,-8
